Approved_Symbol,Date_Name_Changed,Previous_Symbol,Synonyms,Linked_Genes
A12M1,,,,
A2MRAP,,,,
ASIC1,2015-12,ACCN2,BNaC2|hBNaC2,ACCN2|BNaC2|hBNaC2
BNaC2,2015-12,ACCN2,ASIC1|hBNaC2,ACCN2|ASIC1|hBNaC2
hBNaC2,2015-12,ACCN2,ASIC1|BNaC2,ACCN2|ASIC1|BNaC2
BCL5,,,,
RGS4,2017-04,SCZD9,,SCZD9
RGS5,2017-04,,,
RGS6,2017-04,,,
RGS7,2017-04,,,
RGS9,2017-04,,PERRS|RGS9L|MGC26458|MGC111763,PERRS|RGS9L|MGC26458|MGC111763
PERRS,2017-04,,RGS9|RGS9L|MGC26458|MGC111763,RGS9|RGS9L|MGC26458|MGC111763
RGS9L,2017-04,,RGS9|PERRS|MGC26458|MGC111763,RGS9|PERRS|MGC26458|MGC111763
MGC26458,2017-04,,RGS9|PERRS|RGS9L|MGC111763,RGS9|PERRS|RGS9L|MGC111763
MGC111763,2017-04,,RGS9|PERRS|RGS9L|MGC26458,RGS9|PERRS|RGS9L|MGC26458
RH,,,,
RHAG,2006-02,,RH50A|CD241|SLC42A1,RH50A|CD241|SLC42A1
RH50A,2006-02,,RHAG|CD241|SLC42A1,RHAG|CD241|SLC42A1
CD241,2006-02,,RHAG|RH50A|SLC42A1,RHAG|RH50A|SLC42A1
SLC42A1,2006-02,,RHAG|RH50A|CD241,RHAG|RH50A|CD241
RHBDL1,2016-05,RHBDL,RRP,RHBDL|RRP
RRP,2016-05,RHBDL,RHBDL1,RHBDL|RHBDL1
RHCE,2016-01,RH,CD240CE,RH|CD240CE
CD240CE,2016-01,RH,RHCE,RH|RHCE
RHD,2016-01,RH,Rh30a|Rh4|RhPI|RhII|DIIIc|CD240D,RH|Rh30a|Rh4|RhPI|RhII|DIIIc|CD240D
Rh30a,2016-01,RH,RHD|Rh4|RhPI|RhII|DIIIc|CD240D,RH|RHD|Rh4|RhPI|RhII|DIIIc|CD240D
Rh4,2016-01,RH,RHD|Rh30a|RhPI|RhII|DIIIc|CD240D,RH|RHD|Rh30a|RhPI|RhII|DIIIc|CD240D
RhPI,2016-01,RH,RHD|Rh30a|Rh4|RhII|DIIIc|CD240D,RH|RHD|Rh30a|Rh4|RhII|DIIIc|CD240D
